profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
Med-Under,SM-2 Baseline,final_ece,0.246393,0.084950,0.214666,0.278119,30,N/A,N/A
Med-Under,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Under,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Under,BKT-Only,retention_7day,0.278691,0.001685,0.278062,0.279321,30,4.9402,large
Med-Under,BKT-Only,retention_1day,0.343385,0.003070,0.342239,0.344532,30,N/A,N/A
Med-Under,BKT-Only,retention_30day,0.207890,0.000169,0.207826,0.207953,30,N/A,N/A
Med-Under,BKT-Only,final_ece,0.261364,0.083017,0.230359,0.292369,30,-0.1783,negligible
Med-Under,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Under,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Well,Full CalibrateMe,retention_7day,0.278398,0.001745,0.277747,0.279050,30,4.6816,large
Med-Well,Full CalibrateMe,retention_1day,0.342851,0.003180,0.341663,0.344039,30,N/A,N/A
Med-Well,Full CalibrateMe,retention_30day,0.207860,0.000175,0.207795,0.207925,30,N/A,N/A
Med-Well,Full CalibrateMe,final_ece,0.199583,0.073610,0.172091,0.227074,30,0.2877,small
Med-Well,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Well,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Well,No Dual-Process,retention_7day,0.277748,0.001650,0.277132,0.278364,30,4.4516,large
Med-Well,No Dual-Process,retention_1day,0.341667,0.003006,0.340544,0.342789,30,N/A,N/A
Med-Well,No Dual-Process,retention_30day,0.207795,0.000165,0.207733,0.207857,30,N/A,N/A
Med-Well,No Dual-Process,final_ece,0.186428,0.074904,0.158454,0.214403,30,0.4502,small
Med-Well,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Well,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Well,No Scaffolding,retention_7day,0.278428,0.001774,0.277765,0.279090,30,4.6678,large
Med-Well,No Scaffolding,retention_1day,0.342904,0.003233,0.341697,0.344112,30,N/A,N/A
Med-Well,No Scaffolding,retention_30day,0.207863,0.000178,0.207797,0.207929,30,N/A,N/A
Med-Well,No Scaffolding,final_ece,0.192205,0.081483,0.161773,0.222637,30,0.3635,small
Med-Well,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Well,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Well,Calibration Only,retention_7day,0.277812,0.001742,0.277162,0.278463,30,4.3989,large
Med-Well,Calibration Only,retention_1day,0.341783,0.003174,0.340598,0.342968,30,N/A,N/A
Med-Well,Calibration Only,retention_30day,0.207801,0.000175,0.207736,0.207867,30,N/A,N/A
Med-Well,Calibration Only,final_ece,0.204341,0.083168,0.173280,0.235402,30,0.2151,small
Med-Well,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Well,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Well,SM-2 Baseline,retention_7day,0.268797,0.002316,0.267932,0.269662,30,N/A,N/A
Med-Well,SM-2 Baseline,retention_1day,0.325356,0.004221,0.323780,0.326933,30,N/A,N/A
Med-Well,SM-2 Baseline,retention_30day,0.206898,0.000232,0.206811,0.206984,30,N/A,N/A
Med-Well,SM-2 Baseline,final_ece,0.222378,0.084507,0.190817,0.253939,30,N/A,N/A
Med-Well,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Well,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Well,BKT-Only,retention_7day,0.278564,0.001718,0.277923,0.279206,30,4.7899,large
Med-Well,BKT-Only,retention_1day,0.343154,0.003130,0.341985,0.344323,30,N/A,N/A
Med-Well,BKT-Only,retention_30day,0.207877,0.000172,0.207812,0.207941,30,N/A,N/A
Med-Well,BKT-Only,final_ece,0.186863,0.075342,0.158724,0.215001,30,0.4436,small
Med-Well,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Well,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Over,Full CalibrateMe,retention_7day,0.437347,0.004453,0.435684,0.439010,30,5.0913,large
High-Over,Full CalibrateMe,retention_1day,0.520385,0.006011,0.518140,0.522630,30,N/A,N/A
High-Over,Full CalibrateMe,retention_30day,0.275153,0.001410,0.274626,0.275679,30,N/A,N/A
High-Over,Full CalibrateMe,final_ece,0.201059,0.064557,0.176949,0.225169,30,0.4549,small
High-Over,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Over,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
